date,username,tweet,sentiment,likes,retweets
2024-09-19 16:03:35.684527,user_7,I awesome this education project. It's excellent! #education,positive,925,17
2024-09-26 16:03:35.684527,user_18,I fantastic this education project. It's wonderful! #education,positive,326,80
2024-09-19 16:03:35.684527,user_19,I fantastic this education project. It's fantastic! #education,positive,144,92
2024-10-04 16:03:35.684527,user_2,I outstanding this education project. It's excellent! #education,positive,759,26
2024-10-06 16:03:35.684527,user_11,I disappointing this education project. It's hate! #education,negative,642,0
2024-09-26 16:03:35.685529,user_19,I awesome this education project. It's happy! #education,positive,510,92
2024-10-04 16:03:35.685529,user_5,I typical this finance project. It's regular! #finance,neutral,402,61
2024-09-23 16:03:35.685529,user_2,I fine this finance project. It's typical! #finance,neutral,114,75
2024-09-21 16:03:35.685529,user_2,I waste this education project. It's bad! #education,negative,771,63
2024-09-21 16:03:35.685529,user_11,I average this healthcare project. It's regular! #healthcare,neutral,976,82
2024-09-25 16:03:35.685529,user_6,I fine this finance project. It's normal! #finance,neutral,522,95
2024-09-15 16:03:35.685529,user_19,I love this education project. It's amazing! #education,positive,317,65
2024-10-05 16:03:35.685529,user_3,I regular this education project. It's normal! #education,neutral,553,61
2024-09-21 16:03:35.686527,user_14,I love this healthcare project. It's awesome! #healthcare,positive,7,38
2024-09-27 16:03:35.686527,user_15,I bad this finance project. It's frustrated! #finance,negative,812,43
2024-09-09 16:03:35.686527,user_1,I average this finance project. It's regular! #finance,neutral,140,19
2024-10-05 16:03:35.686527,user_5,I bad this healthcare project. It's disappointing! #healthcare,negative,418,28
2024-10-06 16:03:35.686527,user_3,I great this finance project. It's awesome! #finance,positive,831,17
2024-09-08 16:03:35.686527,user_7,I frustrated this finance project. It's horrible! #finance,negative,43,5
2024-09-21 16:03:35.686527,user_20,I decent this healthcare project. It's normal! #healthcare,neutral,94,44
2024-09-15 16:03:35.686527,user_17,I excellent this education project. It's excellent! #education,positive,895,34
2024-10-04 16:03:35.686527,user_12,I love this education project. It's happy! #education,positive,759,74
2024-09-12 16:03:35.687527,user_2,I excellent this finance project. It's excellent! #finance,positive,559,52
2024-09-23 16:03:35.687527,user_9,I fantastic this finance project. It's love! #finance,positive,652,37
2024-09-20 16:03:35.687527,user_12,I waste this finance project. It's frustrated! #finance,negative,22,41
