category,title,content,cleaned_title,cleaned_content,label,sentiment
finance_hi,"बांग्लादेश की आर्मी को लेकर अब भारी विवाद, भारत का भी क्यों आया नाम",अब तक शेख़ हसीना की पार्टी अवामी लीग पर भारत से मिलीभगत का आरोप लगता था लेकिन अब वहां की आर्मी भी इस लपेटे में आ गई है. ऐसा क्या हुआ कि मोहम्मद युनूस के समर्थक रहे लोग अब उनकी आलोचना कर रहे हैं.,,,2,Positive
finance_hi,"कर्नाटक में सरकारी ठेकों में मुस्लिम आरक्षण पर राज्यसभा में हंगामा, सदन स्थगित",राज्यसभा में सोमवार को संसदीय कार्य मंत्री किरेन रिजिजू ने कर्नाटक में मुस्लिम आरक्षण से जुड़ा मुद्दा उठाया. इस पर हंगामा हुआ और सदन को दोपहर दो बजे तक के लिए स्थगित कर दिया गया.,,,2,Positive
finance_hi,"आईपीएल में हरभजन सिंह की जोफ़्रा आर्चर पर विवादित टिप्पणी, बैन करने की मांग",आईपीएल के दूसरे मैच में सनराइजर्स हैदराबाद ने राजस्थान रॉयल्स को हरा दिया. सनराइजर्स के बल्लेबाज़ों ने बेहतरीन प्रदर्शन किया. लेकिन इस मैच की चर्चा हरभजन सिंह की जोफ़्रा आर्चर पर टिप्पणी के कारण हो रही है.,,,1,Positive
finance_hi,कोविड-19 के पाँच साल: तबाही मचाने वाली महामारी ने सिखाईं ये चार बातें,एक एक्सपर्ट ने कोविड महामारी को इतिहास का सबसे बड़ा मनोवैज्ञानिक प्रयोग बताया है. इस बीमारी ने हमारे जीने के तरीके को कई तरह से प्रभावित किया है.,19,,0,Positive
finance_hi,"कुणाल कामरा को एकनाथ शिंदे गुट से धमकी, जानिए पूरा मामला",स्टैंड-अप कॉमेडियन कुणाल कामरा को एकनाथ शिंदे की शिव सेना ने धमकी दी है कि वह स्वतंत्र होकर महाराष्ट्र या पूरे हिन्दुस्तान में नहीं घूम सकते हैं.,,,2,Positive
finance_hi,जस्टिस यशवंत वर्मा मामला: कैसे होती है हाई कोर्ट के जजों के ख़िलाफ़ क़ानूनी कार्रवाई,दिल्ली हाई कोर्ट के जज जस्टिस यशवंत वर्मा के घर से अधजले नोटों की गड्डियां मिली थीं. जस्टिस वर्मा ने कहा है कि उनके ख़िलाफ़ साज़िश रची जा रही है.,,,2,Positive
finance_hi,"मुंबई इंडियंस का 13 साल से पहले मैच में हार का सिलसिला जारी, चेन्नई के नूर की चमकी  गेंदबाज़ी",मुंबई की टीम हार तो गई लेकिन उसने अंत तक मैच दिलचस्प बनाए रखा. केरल की विग्नेश पुथुर भी ख़ूब चर्चा में रहे.,13,,2,Positive
finance_hi,औरंगज़ेब के ऊपर दारा शिकोह को क्यों तरजीह दे रहा है आरएसएस?,आरएसएस ने मुग़ल बादशाह औरंगजे़ब पर विवाद को एक नया आयाम देते हुए सवाल उठाया है कि उनके भाई दारा शिकोह को क्यों आदर्श बनाया जा सकता है.,,,1,Positive
finance_hi,रूस-यूक्रेन युद्ध विराम कराने में डोनाल्ड ट्रंप को क्यों करना पड़ रहा संघर्ष?,"अमेरिका में राष्ट्रपति चुनाव के दौरान डोनाल्ड ट्रंप ने कहा था कि मैं चुनाव जीत गया तो रूस और यूक्रेन के बीच 24 घंटे के भीतर युद्ध विराम लागू करवा दूंगा. अब उनको राष्ट्रपति बने दो महीने से ज़्यादा हो चुके हैं, लेकिन हालात जस के तस बने हुए हैं.",,24,2,Positive
finance_hi,"ग्रोक, चैटजीपीटी और डीपसीक, राजनीति का अखाड़ा क्यों बन रहे हैं एआई टूल्स - द लेंस","दुनिया भर में टेक्नॉलॉजी की क्रांति जैसी दिख रही है और आर्टिफ़िशियल इंटेलिजेंस का इस्तेमाल जिस तरह से हो रहा है, उसको लेकर काफ़ी चर्चा है. बीते हफ़्ते ग्रोक एआई का सोशल मीडिया पर जिस तरह से इस्तेमाल हुआ, उसको लेकर बहस हो रही है.",,,2,Positive
